file,isLeela,isFry,isBender
Futurama_1_04081.png,0,1,0
Futurama_2_17161.png,1,1,0
Futurama_7_14497.png,1,1,1
Futurama_6_23881.png,0,0,0
Futurama_5_02065.png,1,0,0
Futurama_4_29833.png,1,0,0
Futurama_3_05737.png,1,1,1
Futurama_6_03097.png,0,1,0
Futurama_3_13153.png,1,1,1
Futurama_2_09985.png,1,0,0
Futurama_5_23569.png,1,1,0
Futurama_6_25129.png,0,0,0
Futurama_3_16729.png,1,1,0
Futurama_1_07681.png,1,1,0
Futurama_6_26305.png,1,1,1
Futurama_3_08113.png,0,1,1
Futurama_2_15937.png,0,0,1
Futurama_5_02881.png,0,0,0
Futurama_7_23953.png,0,1,1
Futurama_5_03985.png,0,0,0
Futurama_1_25609.png,1,1,1
Futurama_3_08329.png,0,1,1
Futurama_6_11905.png,0,1,0
Futurama_6_08137.png,1,1,0
Futurama_3_29089.png,0,1,0
Futurama_3_10849.png,1,1,0
Futurama_5_14737.png,0,0,0
Futurama_3_23977.png,1,0,0
Futurama_7_12145.png,0,1,0
Futurama_1_19513.png,0,1,1
Futurama_7_20473.png,0,1,0
Futurama_6_27337.png,0,1,0
Futurama_1_02209.png,0,1,0
Futurama_6_09625.png,1,1,1
Futurama_7_23065.png,0,0,0
Futurama_1_12361.png,0,1,1
Futurama_2_28321.png,1,0,0
Futurama_2_11881.png,0,0,0
Futurama_1_10153.png,0,0,0
Futurama_5_17401.png,0,0,0
Futurama_4_29977.png,0,0,0
Futurama_1_15121.png,0,1,1
Futurama_3_24553.png,1,0,1
Futurama_2_10489.png,0,0,0
Futurama_1_28369.png,0,0,0
Futurama_1_19249.png,1,0,0
Futurama_1_13297.png,0,0,0
Futurama_2_18769.png,1,1,0
Futurama_2_30217.png,0,0,1
Futurama_6_10153.png,1,1,0
Futurama_3_07993.png,0,0,0
Futurama_1_11857.png,0,1,1
Futurama_4_04297.png,1,0,1
Futurama_5_14521.png,0,0,0
Futurama_3_01465.png,0,0,0
Futurama_4_05113.png,0,0,0
Futurama_4_01705.png,0,0,0
Futurama_4_15121.png,0,0,0
Futurama_5_01393.png,1,1,1
Futurama_5_06505.png,0,0,1
Futurama_1_28249.png,0,0,0
Futurama_7_31153.png,0,0,0
Futurama_6_17113.png,1,0,0
Futurama_1_28561.png,0,0,1
Futurama_3_22441.png,0,1,0
Futurama_1_09169.png,1,0,0
Futurama_1_01225.png,0,0,0
Futurama_7_17353.png,0,1,0
Futurama_7_22249.png,0,1,0
Futurama_7_03025.png,0,0,1
Futurama_6_13969.png,0,0,0
Futurama_3_08761.png,0,1,1
Futurama_1_06193.png,1,0,0
Futurama_3_29857.png,0,1,1
Futurama_6_03457.png,1,1,1
Futurama_2_30433.png,0,0,0
Futurama_3_06073.png,0,0,0
Futurama_4_04561.png,0,0,0
Futurama_6_25369.png,0,1,0
Futurama_5_12121.png,1,1,0
Futurama_6_12577.png,0,1,1
Futurama_5_28969.png,0,0,0
Futurama_7_07129.png,1,0,0
Futurama_5_29089.png,0,0,0
Futurama_7_28081.png,1,1,1
Futurama_6_12937.png,1,0,1
Futurama_6_29113.png,0,1,0
Futurama_3_11713.png,1,1,1
Futurama_4_19945.png,1,0,0
Futurama_3_28225.png,0,0,0
Futurama_4_24625.png,0,0,0
Futurama_6_03625.png,0,1,0
Futurama_1_06457.png,1,1,0
Futurama_5_16585.png,0,0,0
Futurama_2_07465.png,1,1,0
Futurama_1_02857.png,0,1,0
Futurama_2_10657.png,0,0,0
Futurama_2_14761.png,0,0,1
Futurama_7_11017.png,0,0,0
Futurama_2_11065.png,1,1,1
Futurama_5_20569.png,0,0,1
Futurama_7_01153.png,0,0,1
Futurama_4_09409.png,0,0,0
Futurama_7_12121.png,0,0,0
Futurama_2_11569.png,0,0,1
Futurama_3_07321.png,0,1,1
Futurama_1_08473.png,1,0,0
Futurama_5_22801.png,1,1,1
Futurama_5_00697.png,0,0,0
Futurama_6_09697.png,1,1,1
Futurama_6_30649.png,0,0,0
Futurama_2_16921.png,0,0,0
Futurama_6_01681.png,0,0,0
Futurama_4_15985.png,1,0,0
Futurama_5_13921.png,1,1,0
Futurama_6_17905.png,0,1,0
Futurama_5_14497.png,0,0,0
Futurama_5_16081.png,0,0,0
Futurama_3_11569.png,1,1,1
Futurama_3_13321.png,1,1,1
Futurama_7_14881.png,0,0,0
Futurama_5_24889.png,0,0,0
Futurama_7_09121.png,1,1,1
Futurama_4_28393.png,1,0,1
Futurama_4_05257.png,1,0,1
Futurama_2_02305.png,0,0,0
Futurama_4_06097.png,1,0,1
Futurama_7_08761.png,0,0,1
Futurama_1_09529.png,1,1,0
Futurama_7_12289.png,0,0,0
Futurama_3_14785.png,0,1,1
Futurama_3_03625.png,1,0,1
Futurama_4_14689.png,0,0,0
Futurama_3_08353.png,0,1,1
Futurama_6_25441.png,0,1,0
Futurama_7_17689.png,0,1,0
Futurama_7_15553.png,1,0,0
Futurama_1_22777.png,0,1,1
Futurama_7_03913.png,0,0,1
Futurama_4_19369.png,1,0,0
Futurama_4_05785.png,1,0,0
Futurama_7_29329.png,0,1,0
Futurama_1_24097.png,1,0,0
Futurama_3_03505.png,0,0,0
Futurama_1_08113.png,0,1,0
Futurama_2_02905.png,0,0,0
Futurama_2_22105.png,0,0,0
Futurama_7_24313.png,0,0,0
Futurama_6_22033.png,0,0,0
Futurama_2_14113.png,0,1,0
Futurama_3_26185.png,0,1,0
Futurama_5_02329.png,0,0,0
Futurama_2_02929.png,0,0,0
Futurama_1_01417.png,0,0,0
Futurama_5_23497.png,0,0,0
Futurama_7_02713.png,0,0,0
Futurama_4_06241.png,1,0,1
Futurama_1_17737.png,1,0,0
Futurama_4_01921.png,1,0,0
Futurama_4_30937.png,0,0,0
Futurama_2_05449.png,0,0,1
Futurama_5_13609.png,1,1,0
Futurama_5_30073.png,1,1,1
Futurama_4_09577.png,1,1,0
Futurama_7_05377.png,0,1,0
Futurama_7_31057.png,0,0,0
Futurama_1_14065.png,1,0,0
Futurama_7_23929.png,0,1,1
Futurama_7_28153.png,1,1,1
Futurama_5_27577.png,0,0,0
Futurama_2_25873.png,1,1,0
Futurama_6_27145.png,0,1,0
Futurama_7_03145.png,1,1,1
Futurama_6_23689.png,0,0,0
Futurama_7_26641.png,0,1,0
Futurama_3_14833.png,0,1,0
Futurama_4_16993.png,1,0,0
Futurama_3_30457.png,0,1,1
Futurama_3_22369.png,0,1,0
Futurama_4_20857.png,1,0,0
Futurama_6_17881.png,1,1,0
Futurama_6_30961.png,0,0,0
Futurama_3_04609.png,0,0,0
Futurama_6_29425.png,1,1,1
Futurama_5_30097.png,0,0,1
Futurama_3_18265.png,1,1,0
Futurama_7_20929.png,0,1,1
Futurama_7_17953.png,1,0,0
Futurama_1_11209.png,0,1,0
Futurama_4_01945.png,1,0,0
Futurama_3_18649.png,1,1,0
Futurama_3_27193.png,1,1,1
Futurama_4_25369.png,1,0,0
Futurama_2_03241.png,0,0,0
Futurama_4_08041.png,0,0,1
Futurama_3_24025.png,1,0,0
Futurama_1_19417.png,0,0,0
Futurama_3_13081.png,0,0,0
Futurama_2_16105.png,0,0,1
Futurama_7_12337.png,0,0,0
Futurama_2_00265.png,0,0,0
Futurama_2_11089.png,1,1,1
Futurama_6_03313.png,0,1,0
Futurama_4_24841.png,0,0,1
Futurama_3_25537.png,0,0,1
Futurama_4_20689.png,1,0,0
Futurama_6_22489.png,0,1,0
Futurama_6_26137.png,0,1,0
Futurama_1_19441.png,1,0,0
Futurama_7_22033.png,0,1,1
Futurama_1_23857.png,0,1,0
Futurama_4_30145.png,0,0,0
Futurama_4_03001.png,0,1,0
Futurama_6_01873.png,0,0,0
Futurama_4_15241.png,0,0,0
Futurama_4_20065.png,1,0,0
Futurama_5_02233.png,1,1,1
Futurama_6_30865.png,0,0,0
Futurama_3_22873.png,1,1,0
Futurama_7_30457.png,0,0,0
Futurama_6_09385.png,0,0,0
Futurama_4_04009.png,0,1,0
Futurama_3_27769.png,0,0,1
Futurama_4_21889.png,1,1,1
Futurama_7_04417.png,1,1,1
Futurama_2_07393.png,0,0,0
Futurama_1_13585.png,1,0,0
Futurama_6_25273.png,0,0,0
Futurama_7_12577.png,0,1,0
Futurama_5_10753.png,0,1,0
Futurama_5_20713.png,0,0,1
Futurama_7_16585.png,0,0,0
Futurama_5_18697.png,0,0,0
Futurama_7_10609.png,0,1,0
Futurama_5_10609.png,1,1,0
Futurama_4_02665.png,0,1,0
Futurama_3_10969.png,1,1,0
Futurama_5_23641.png,1,1,0
Futurama_2_01201.png,0,0,0
Futurama_6_20185.png,0,0,0
Futurama_6_18505.png,0,0,0
Futurama_7_10849.png,0,1,0
